:START_ID,:END_ID,:TYPE,collection,coverageLevel,isActiveInNetwork
http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/08236fee-c405-4f30-8858-f10d7d5c94b7,http://data.europa.eu/esco/skill/08236fee-c405-4f30-8858-f10d7d5c94b7,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/094ef6aa-844f-44ce-8456-fdc49276bf58,http://data.europa.eu/esco/skill/094ef6aa-844f-44ce-8456-fdc49276bf58,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0a0532c2-ee60-4410-8e07-70e4d69370ec,http://data.europa.eu/esco/skill/0a0532c2-ee60-4410-8e07-70e4d69370ec,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0a099c81-6a0c-4f00-bb3b-990d23ec03a5,http://data.europa.eu/esco/skill/0a099c81-6a0c-4f00-bb3b-990d23ec03a5,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0a30e5a8-60a8-4fda-9f89-8e9cee38da5a,http://data.europa.eu/esco/skill/0a30e5a8-60a8-4fda-9f89-8e9cee38da5a,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0a776a56-6ec1-4790-84b3-46d0be706806,http://data.europa.eu/esco/skill/0a776a56-6ec1-4790-84b3-46d0be706806,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0a856d55-23b5-4bdc-ad24-3eb5bc83d81f,http://data.europa.eu/esco/skill/0a856d55-23b5-4bdc-ad24-3eb5bc83d81f,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0aabcae7-71de-456e-8e38-d9e40a4e0272,http://data.europa.eu/esco/skill/0aabcae7-71de-456e-8e38-d9e40a4e0272,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26,http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0b0335f3-0aa1-491e-895e-81fc8774a300,http://data.europa.eu/esco/skill/0b0335f3-0aa1-491e-895e-81fc8774a300,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0b449eb1-d082-4e62-95d7-5cf59bdf2097,http://data.europa.eu/esco/skill/0b449eb1-d082-4e62-95d7-5cf59bdf2097,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0ba0717c-3a7a-45a3-834c-59c554e56c72,http://data.europa.eu/esco/skill/0ba0717c-3a7a-45a3-834c-59c554e56c72,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0c66036a-3bdd-4955-8343-985f4697af64,http://data.europa.eu/esco/skill/0c66036a-3bdd-4955-8343-985f4697af64,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0c9f20cb-32fb-4ff7-877e-508762791151,http://data.europa.eu/esco/skill/0c9f20cb-32fb-4ff7-877e-508762791151,IN_COLLECTION,Digital,high,True
